PROMOTIONID,DOMAINNAMEID,EXPIREDATE
606724,1909,2022-03-06 23:59:59.000 Z
606436,30482,
606431,505942,
606211,5801,2022-03-06 23:59:59.000 Z
606441,464753,2022-03-31 23:59:59.000 Z
606434,505942,
606433,505942,
606213,3568,2022-03-12 23:59:59.000 Z
606438,505942,
606432,505942,
606435,505942,
606437,505942,
606224,153389,2022-03-02 23:59:59.000 Z
606229,140209,2022-02-26 23:59:59.000 Z
606236,140209,2022-02-26 23:59:59.000 Z
605786,479435,2022-03-01 23:59:59.000 Z
606231,1872,2022-03-05 23:59:59.000 Z
606175,1909,2022-02-27 23:59:59.000 Z
606126,201596,2022-02-27 23:59:59.000 Z
606125,375518,2022-02-27 23:59:59.000 Z
606191,8037,2022-03-03 23:59:59.000 Z
606192,314417,2022-02-28 23:59:59.000 Z
606178,59497,2023-02-25 23:59:59.000 Z
606196,22413,2022-03-08 23:59:59.000 Z
606190,36108,2022-02-28 23:59:59.000 Z
606300,2685,2022-03-31 23:59:59.000 Z
605751,184786,2022-03-02 23:59:59.000 Z
606195,457531,2022-02-27 23:59:59.000 Z
606198,167844,2022-06-30 23:59:59.000 Z
606295,1909,2022-03-01 23:59:59.000 Z
606199,1729,2022-03-06 23:59:59.000 Z
605943,61922,2022-02-27 23:59:59.000 Z
606297,30032,2022-03-06 23:59:59.000 Z
606315,1909,
606312,1909,
604962,375587,2022-03-06 23:59:59.000 Z
606443,443420,
606447,443420,
606442,464753,
605123,2343,2022-03-09 23:59:59.000 Z
606444,443420,
606214,445573,2022-02-28 23:59:59.000 Z
606264,2494,2022-04-30 23:59:59.000 Z
605776,24316,2022-03-04 23:59:59.000 Z
605079,437206,2022-02-16 23:59:59.000 Z
605011,287898,2022-02-28 23:59:59.000 Z
605014,18292,2022-03-29 23:59:59.000 Z
605236,447314,
605238,447314,2022-02-14 23:59:59.000 Z
605235,447314,
605007,51498,2022-02-19 23:59:59.000 Z
605165,376079,2022-02-14 23:59:59.000 Z
605151,30482,2022-02-13 23:59:59.000 Z
605147,2523,2022-02-13 23:59:59.000 Z
605233,87917,2022-02-17 23:59:59.000 Z
605234,87917,2022-02-17 23:59:59.000 Z
605001,1872,2022-02-15 23:59:59.000 Z
605886,3032,2022-02-22 23:59:59.000 Z
605603,3379,2022-02-25 23:59:59.000 Z
605743,391310,2022-02-21 23:59:59.000 Z
605057,153389,2022-02-13 23:59:59.000 Z
604942,1872,2022-02-12 23:59:59.000 Z
606235,153389,2022-03-13 23:59:59.000 Z
606801,1872,2022-03-12 23:59:59.000 Z
606794,1909,2022-03-12 23:59:59.000 Z
606790,113920,2022-03-07 23:59:59.000 Z
606629,56754,2022-03-11 23:59:59.000 Z
